Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,707502,-,-,-,42.01,12.22,0,172,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI
2017,1,1,0,30,0,0,0,0,0,0
2017,1,1,1,30,0,0,0,0,0,0
2017,1,1,2,30,0,0,0,0,0,0
2017,1,1,3,30,0,0,0,0,0,0
2017,1,1,4,30,0,0,0,0,0,0
2017,1,1,5,30,0,0,0,0,0,0
2017,1,1,6,30,0,0,0,0,0,0
2017,1,1,7,30,97,34,513,34,513,97
2017,1,1,8,30,240,54,732,54,732,240
2017,1,1,9,30,357,65,827,65,827,357
2017,1,1,10,30,423,70,860,70,860,423
2017,1,1,11,30,437,71,865,71,865,437
2017,1,1,12,30,394,70,836,70,836,394
2017,1,1,13,30,299,62,766,62,766,299
2017,1,1,14,30,166,48,614,48,614,166
2017,1,1,15,30,29,19,239,19,239,29
2017,1,1,16,30,0,0,0,0,0,0
2017,1,1,17,30,0,0,0,0,0,0
2017,1,1,18,30,0,0,0,0,0,0
2017,1,1,19,30,0,0,0,0,0,0
2017,1,1,20,30,0,0,0,0,0,0
2017,1,1,21,30,0,0,0,0,0,0
2017,1,1,22,30,0,0,0,0,0,0
2017,1,1,23,30,0,0,0,0,0,0
2017,1,2,0,30,0,0,0,0,0,0
2017,1,2,1,30,0,0,0,0,0,0
2017,1,2,2,30,0,0,0,0,0,0
2017,1,2,3,30,0,0,0,0,0,0
2017,1,2,4,30,0,0,0,0,0,0
2017,1,2,5,30,0,0,0,0,0,0
2017,1,2,6,30,0,0,0,0,0,0
2017,1,2,7,30,92,36,456,36,456,92
2017,1,2,8,30,231,58,680,58,680,231
2017,1,2,9,30,345,69,778,69,778,345
2017,1,2,10,30,196,171,60,75,821,413
2017,1,2,11,30,153,150,8,76,824,425
2017,1,2,12,30,190,162,71,74,798,384
2017,1,2,13,30,20,20,0,65,726,291
2017,1,2,14,30,11,11,0,49,582,162
2017,1,2,15,30,3,3,0,19,229,30
2017,1,2,16,30,0,0,0,0,0,0
2017,1,2,17,30,0,0,0,0,0,0
2017,1,2,18,30,0,0,0,0,0,0
2017,1,2,19,30,0,0,0,0,0,0
2017,1,2,20,30,0,0,0,0,0,0
2017,1,2,21,30,0,0,0,0,0,0
2017,1,2,22,30,0,0,0,0,0,0
2017,1,2,23,30,0,0,0,0,0,0
2017,1,3,0,30,0,0,0,0,0,0
2017,1,3,1,30,0,0,0,0,0,0
2017,1,3,2,30,0,0,0,0,0,0
2017,1,3,3,30,0,0,0,0,0,0
2017,1,3,4,30,0,0,0,0,0,0
2017,1,3,5,30,0,0,0,0,0,0
2017,1,3,6,30,0,0,0,0,0,0
2017,1,3,7,30,6,6,0,46,290,81
